"Geschlecht","Jahr","Wert"
"Frauen",1995,5.92917647058823
"Frauen",1996,5.84447058823529
"Frauen",1997,5.764
"Frauen",1998,5.48484162895928
"Frauen",1999,5.38800904977375
"Frauen",2000,5.30203619909502
"Frauen",2001,5.19027149321267
"Frauen",2002,5.25067873303168
"Frauen",2003,5.13981900452489
"Frauen",2004,5.05859728506787
"Frauen",2005,4.99954751131222
"Frauen",2006,4.91877828054298
"Frauen",2007,4.8262443438914
"Frauen",2008,4.83031674208145
"Frauen",2009,4.75927601809954
"Frauen",2010,4.71221719457013
"Frauen",2011,4.85610859728507
"Frauen",2012,4.74773755656109
