"Fall","Jahr","Wert"
"Mortalität",1995,7.87717647058824
"Mortalität",1996,7.75376470588235
"Mortalität",1997,7.62905882352941
"Mortalität",1998,7.32036199095022
"Mortalität",1999,7.1289592760181
"Mortalität",2000,7.06809954751131
"Mortalität",2001,6.93291855203619
"Mortalität",2002,6.94196832579185
"Mortalität",2003,6.81549773755656
"Mortalität",2004,6.62556561085972
"Mortalität",2005,6.53484162895928
"Mortalität",2006,6.43710407239819
"Mortalität",2007,6.27217194570136
"Mortalität",2008,6.23993212669683
"Mortalität",2009,6.13065610859727
"Mortalität",2010,6.06561085972851
"Mortalität",2011,6.22669683257918
"Mortalität",2012,6.06414027149321
